Access to Benefits,Income Stability,Job Flexibility,Financial Resilience,Income Adequacy,Economic Security Index
0.0,100,25.0,83.5,,
100.0,100,,100.0,,
0.0,100,,66.5,,
100.0,100,,22.333333333333332,,
0.0,50,,55.666666666666664,100.0,
50.0,100,,66.66666666666667,,
50.0,50,100.0,100.0,100.0,87.5
0.0,100,,100.0,,
100.0,100,,83.5,,
100.0,100,,83.5,,
50.0,100,,100.0,,
50.0,100,,83.5,,
0.0,100,,55.666666666666664,,
50.0,100,75.0,83.5,,
100.0,100,,66.66666666666667,,
100.0,100,,83.5,,
50.0,100,25.0,83.5,,
100.0,100,,11.0,,
0.0,100,,11.0,,
50.0,100,,83.5,,
100.0,100,50.0,83.5,,
100.0,100,75.0,100.0,,
50.0,100,50.0,100.0,,
100.0,100,,44.333333333333336,,
100.0,50,50.0,83.5,100.0,85.652
100.0,100,,33.333333333333336,,
100.0,100,,100.0,,
100.0,100,75.0,100.0,,
0.0,100,75.0,11.0,,
100.0,100,,83.5,,
0.0,100,,55.666666666666664,,
0.0,50,,66.5,100.0,
0.0,100,50.0,33.333333333333336,,
0.0,100,,66.5,,
100.0,50,50.0,100.0,100.0,87.5
100.0,50,,100.0,100.0,
0.0,100,,11.0,,
50.0,100,,83.5,,
50.0,100,,100.0,,
50.0,100,,100.0,,
50.0,100,75.0,66.66666666666667,,
50.0,100,,100.0,,
0.0,0,50.0,100.0,100.0,68.1
0.0,100,,100.0,,
0.0,100,,100.0,,
100.0,100,,100.0,,
50.0,100,100.0,100.0,,
50.0,50,75.0,55.666666666666664,100.0,79.08466666666666
0.0,100,,83.5,,
0.0,100,,100.0,,
50.0,100,50.0,55.666666666666664,,
0.0,100,,83.5,,
50.0,100,75.0,100.0,,
100.0,100,50.0,100.0,,
50.0,100,,100.0,,
50.0,100,50.0,66.5,,
50.0,100,,100.0,,
50.0,100,,100.0,,
0.0,100,,83.5,,
50.0,0,100.0,0.0,0.0,20.700000000000003
50.0,100,75.0,83.5,,
50.0,100,,55.666666666666664,,
100.0,50,50.0,100.0,100.0,87.5
100.0,100,,55.666666666666664,,
50.0,100,,83.5,,
100.0,100,,100.0,,
100.0,100,,100.0,,
100.0,100,75.0,100.0,,
0.0,50,,11.0,0.0,
100.0,100,75.0,100.0,,
0.0,100,,100.0,,
50.0,100,75.0,55.666666666666664,,
0.0,100,75.0,11.0,,
0.0,100,,11.0,,
50.0,50,,50.0,100.0,
0.0,100,,100.0,,
50.0,100,75.0,100.0,,
50.0,100,,100.0,,
50.0,100,,100.0,,
50.0,100,,22.333333333333332,,
0.0,100,,100.0,,
50.0,100,50.0,11.0,,
100.0,100,,83.5,,
100.0,100,50.0,100.0,,
50.0,100,100.0,83.5,,
50.0,100,,100.0,,
50.0,50,100.0,100.0,100.0,87.5
50.0,100,25.0,55.666666666666664,,
50.0,100,50.0,100.0,,
100.0,100,75.0,83.5,,
100.0,100,,11.0,,
50.0,100,75.0,66.66666666666667,,
50.0,100,,83.5,,
50.0,50,75.0,55.666666666666664,100.0,79.08466666666666
50.0,0,,55.666666666666664,100.0,
100.0,100,75.0,83.5,,
100.0,100,,83.5,,
50.0,100,0.0,83.5,,
50.0,100,50.0,22.333333333333332,,
0.0,100,,100.0,,
100.0,100,,66.66666666666667,,
100.0,100,75.0,100.0,,
0.0,100,,83.5,,
100.0,100,,100.0,,
50.0,100,,100.0,,
50.0,100,,83.5,,
100.0,100,50.0,11.0,,
0.0,50,,100.0,100.0,
0.0,100,,100.0,,
50.0,100,,11.0,,
100.0,100,,100.0,,
50.0,100,75.0,83.5,,
0.0,0,,66.5,0.0,
0.0,100,100.0,66.5,,
0.0,100,,83.5,,
50.0,100,,44.333333333333336,,
0.0,100,,100.0,,
50.0,100,,83.5,,
0.0,100,,83.5,,
50.0,100,,83.5,,
50.0,100,75.0,83.5,,
50.0,100,75.0,83.5,,
50.0,100,100.0,83.5,,
0.0,100,,66.5,,
0.0,100,,44.333333333333336,,
50.0,50,,55.666666666666664,100.0,
100.0,100,50.0,83.5,,
50.0,100,,83.5,,
0.0,100,,55.666666666666664,,
100.0,100,,83.5,,
0.0,100,,55.666666666666664,,
100.0,100,25.0,55.666666666666664,,
50.0,50,,50.0,100.0,
100.0,50,75.0,11.0,0.0,30.982000000000003
100.0,100,75.0,100.0,,
100.0,100,,83.5,,
50.0,100,,100.0,,
0.0,100,,100.0,,
0.0,100,,100.0,,
50.0,100,75.0,100.0,,
50.0,100,,83.5,,
0.0,100,75.0,33.333333333333336,,
100.0,0,50.0,83.5,100.0,80.052
100.0,100,,100.0,,
100.0,50,50.0,44.333333333333336,100.0,81.26533333333333
50.0,100,,33.333333333333336,,
50.0,100,,44.333333333333336,,
50.0,100,75.0,100.0,,
50.0,100,,100.0,,
50.0,100,,100.0,,
0.0,50,,0.0,0.0,
50.0,100,75.0,83.5,,
0.0,100,,83.5,,
50.0,100,50.0,55.666666666666664,,
50.0,50,,83.5,100.0,
0.0,100,100.0,100.0,,
0.0,100,,100.0,,
0.0,100,,66.5,,
50.0,100,,83.5,,
50.0,100,,100.0,,
50.0,100,75.0,100.0,,
50.0,100,100.0,83.5,,
100.0,100,25.0,100.0,,
50.0,100,50.0,83.5,,
50.0,100,,55.666666666666664,,
50.0,50,,83.5,100.0,
0.0,50,0.0,0.0,0.0,5.6000000000000005
50.0,100,75.0,22.333333333333332,,
50.0,100,,83.5,,
50.0,100,0.0,83.5,,
100.0,100,,83.5,,
50.0,0,,100.0,100.0,
100.0,100,100.0,100.0,,
50.0,100,,83.5,,
0.0,100,,66.5,,
100.0,100,,83.5,,
100.0,100,75.0,100.0,,
0.0,100,,50.0,,
0.0,100,,100.0,,
50.0,100,100.0,100.0,,
0.0,100,,0.0,,
0.0,100,,100.0,,
100.0,50,50.0,83.5,100.0,85.652
0.0,0,,100.0,100.0,
0.0,100,,100.0,,
100.0,50,,100.0,100.0,
50.0,100,75.0,100.0,,
0.0,50,,11.0,100.0,
0.0,100,,83.5,,
100.0,100,,100.0,,
50.0,100,50.0,55.666666666666664,,
0.0,100,,100.0,,
50.0,100,75.0,55.666666666666664,,
50.0,100,,0.0,,
0.0,0,,66.5,100.0,
100.0,50,,100.0,100.0,
0.0,100,,33.333333333333336,,
0.0,100,,83.5,,
0.0,0,,50.0,0.0,
50.0,100,,83.5,,
0.0,100,,100.0,,
50.0,50,75.0,22.333333333333332,100.0,75.35133333333334
100.0,100,50.0,100.0,,
50.0,100,50.0,83.5,,
50.0,100,,83.5,,
50.0,100,,100.0,,
50.0,100,50.0,83.5,,
100.0,100,,100.0,,
50.0,100,,100.0,,
0.0,100,,22.333333333333332,,
50.0,100,75.0,22.333333333333332,,
100.0,100,,100.0,,
50.0,100,75.0,100.0,,
0.0,0,,50.0,0.0,
100.0,50,,100.0,100.0,
0.0,100,50.0,83.5,,
100.0,100,,100.0,,
100.0,100,50.0,55.666666666666664,,
0.0,100,0.0,66.66666666666667,,
100.0,100,,100.0,,
50.0,100,,83.5,,
0.0,50,75.0,100.0,100.0,77.15
100.0,100,100.0,11.0,,
50.0,100,50.0,83.5,,
0.0,100,,83.5,,
0.0,50,50.0,83.5,100.0,71.852
100.0,100,100.0,100.0,,
0.0,100,100.0,66.5,,
100.0,100,75.0,83.5,,
0.0,100,,83.5,,
0.0,0,,83.5,100.0,
0.0,100,,100.0,,
0.0,100,,11.0,,
0.0,0,,66.5,0.0,
50.0,50,75.0,83.5,100.0,82.202
50.0,100,,100.0,,
100.0,50,,100.0,100.0,
50.0,100,50.0,100.0,,
0.0,50,,83.5,100.0,
50.0,100,,100.0,,
100.0,100,75.0,100.0,,
50.0,50,100.0,66.66666666666667,100.0,83.76666666666667
100.0,100,,66.66666666666667,,
0.0,100,,11.0,,
50.0,100,25.0,33.333333333333336,,
0.0,50,,83.5,100.0,
100.0,100,,83.5,,
50.0,100,,22.333333333333332,,
100.0,100,75.0,83.5,,
0.0,0,,83.5,100.0,
100.0,100,75.0,11.0,,
0.0,100,100.0,100.0,,
100.0,100,75.0,83.5,,
50.0,0,,0.0,0.0,
100.0,100,,83.5,,
50.0,100,,55.666666666666664,,
50.0,100,,83.5,,
100.0,100,,83.5,,
50.0,100,,100.0,,
0.0,100,,11.0,,
100.0,100,50.0,83.5,,
100.0,50,100.0,100.0,100.0,94.4
0.0,100,75.0,83.5,,
0.0,100,,83.5,,
100.0,100,,83.5,,
50.0,100,50.0,44.333333333333336,,
0.0,0,,0.0,0.0,
50.0,100,75.0,83.5,,
0.0,100,,100.0,,
100.0,100,,83.5,,
